Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4360,,,Macauley,Kermadec Is,New Zealand,-30.21,-178.475,238,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-4350,,,Kikai,Ryukyu Is,Japan,30.793,130.305,704,Caldera,7,P,,3,,,,,,3,,3,,3,,,,,,3,,3
-4050,,,Masaya,Nicaragua,Nicaragua,11.985,-86.165,594,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-4000,,,Witori,New Britain-SW Pac,Papua New Guinea,-5.576,150.516,724,Caldera,6,T,,1,,,,,,1,,,,1,,,,,,1,,
-3580,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-3550,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-2420,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,T",,,,,,,,,,,,,,,,,,,,
-2040,,,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,6,,,,,,,,,,,,,,,,,,,,,
-1900,,,Black Peak,Alaska Peninsula,United States,56.552,-158.785,1032,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1890,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1860,,,St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1750,,,Veniaminof,Alaska Peninsula,United States,56.17,-159.38,2507,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1645,,,Aniakchak,Alaska Peninsula,United States,56.88,-158.17,1341,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-1610,,,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,7,W,,3,,,,,,3,,,,3,,,,,,3,,
-1550,,,Redoubt,Alaska-SW,United States,60.485,-152.742,3108,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
-1460,,,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-1370,,,Witori,New Britain-SW Pac,Papua New Guinea,-5.576,150.516,724,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-1050,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1010,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,5,,,3,,,,,,,,,,3,,,,,,,,
-455,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,4,M,,1,,,,,,,,,,1,,,,,,,,
-250,,,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-197,,,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,3,,,,,,,,,,,,,,,,,,,,,
-150,,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,,,,3,,,,,,,,,,3,,,,,,,,
-141,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,40,1,,,,,,,,,40,1,,,,,,,,
-100,,,Okmok,Aleutian Is,United States,53.43,-168.13,1073,Shield volcano,6,,,,,,,,,,,,,,,,,,,,,
-50,,,Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518,Pyroclastic shield,6,,,,,,,,,,,,,,,,,,,,,
46,,,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,3,,,,,,,,,,,,,,,,,,,,,
50,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,6,,,,,,,,,,,,,,,,,,,,,
60,,,Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
79,8,25,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,T",2100,4,,,,,,,,,2100,4,,,,,,,,
200,,,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,,,,,,,,1,,,,,,,,,,1,,
233,,,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,6,,,,,,,,,,,,,,,,,,,,,
240,,,Ksudach,Kamchatka,Russia,51.844,157.572,1079,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
350,,,Augustine,Alaska-SW,United States,59.363,-153.43,1252,Lava dome,,,,,,,,,,,,,,,,,,,,,,
416,,,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,,W,,1,,,,,,1,,,,3,,,,,,4,,
450,,,Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,6,,30000,4,,,,,,,,,30000,4,,,,,,,,
500,,,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,,,,,,,,1,,,,,,,,,,1,,
590,,,San Salvador,El Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,,,,1,,,,,,,,,,1,,,,,,,,
640,,,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1920,Volcanic field,2,T,,1,,,,,,,,,,1,,,,,,,,
653,,,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.094,150.094,408,Caldera,6,,,,,,,,,,,,,,,,,,,,,
683,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,6,,,,,,,,,1,,,,,,,,,,,,
710,,,Witori,New Britain-SW Pac,Papua New Guinea,-5.576,150.516,724,Caldera,6,,,,,,,,,,,,,,,,,,,,,
764,,,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,4,"T,L",80,2,,,,,,,,,80,2,,,,,,,,
766,7,20,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,3,,,3,,,,,,,,,,3,,,,,,,,
787,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,,1,,,,,,1,,,,1,,,,,,1,,
847,,,Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
920,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,,,
930,,,Ceboruco,Mexico,Mexico,21.125,-104.508,2280,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
934,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,1,,
946,,,Changbaishan,China-E,North Korea,41.98,128.08,2744,Stratovolcano,7,,,,,,,,,,,,,,,,,,,,,
950,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,,,,,,,,,,1,,,,,,,,,,,,
1050,,,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,,,,,,,,,,,,,,,,,,,,,,
1104,10,15,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,5,,,,,,,,,1,,,,,,,,,,1,,
1151,,,Krysuvik-Trolladyngja,Iceland-SW,Iceland,63.917,-22.067,360,Crater rows,1,,,,,,,,,1,,,,,,,,,,1,,
1158,1,19,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
1169,2,4,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,"S,W",,,,,,,,,,,16000,4,,,,,,4,,
1169,2,11,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
1177,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,3,,,,,,,,,1,,,,,,,,,,1,,
1206,12,4,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
1250,,,Fentale,Africa-NE,Ethiopia,8.975,39.93,2007,Stratovolcano,,,,,,,,,,1,,,,,,,,,,,,
1262,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,3,F,,1,,,,,,,,,,1,,,,,,,,
1280,,,Quilotoa,Ecuador,Ecuador,-0.85,-78.9,3914,Caldera,6,,,,,,,,,1,,,,,,,,,,,,
1300,7,11,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,,,,,,,,,,,,600,3,,,,,,,,
1302,,,Ischia,Italy,Italy,40.73,13.897,789,Complex volcano,,,,1,,,,,,,,,,1,,,,,,,,
1311,1,18,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,F,,2,,,,,,,,,,2,,,,,,,,
1311,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
1329,6,28,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,,,,,,,,,,,,,,,,,,,1,,1
1329,7,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1,I,,3,,,,,,,,,,3,,,,,,,,
1331,12,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,,,1,,,,,,,,,,1,,,,,,,,
1334,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
1341,5,19,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
1357,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,1,,
1362,6,5,Oraefajokull,Iceland-SE,Iceland,64,-16.65,2010,Stratovolcano,5,"T,F",220,3,,,,,,,,,220,3,,,,,,,,
1375,,,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,5,M,,2,,,,,,,,,,2,,,,,,,,
1376,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
1385,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
1389,12,1,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
1410,3,5,Nasudake,Honshu-Japan,Japan,37.125,139.963,1915,Stratovolcano,3,,180,3,,,,,,,,,180,3,,,,,,,,
1430,,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,,P,,3,,,,,,,,,,3,,,,,,,,
1471,11,3,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,5,P,,3,,,,,,,,,,3,,,,,,,,
1477,2,,Bardarbunga,Iceland-NE,Iceland,64.633,-17.516,2000,Stratovolcano,6,,,,,,,,,1,,,,,,,,,,1,,
1485,1,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,,1,1,,,,,,,,,1,1,,,,,,,,
1500,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,1,,
1510,7,25,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,T,1,1,,,,,,,,,1,1,,,,,,,,
1510,10,15,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,I,,,,,,,,,,,,3,,,,,,,,
1536,3,23,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,T,1,1,,,,,,,,,1,1,,,,,,,,
1538,9,29,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,3,T,24,1,,,,,,,,,24,1,,,,,,,,
1540,,,Augustine,Alaska-SW,United States,59.363,-153.43,1252,Lava dome,4,,,,,,,,,,,,,,,,,,,,,
1550,11,,Dukono,Halmahera-Indonesia,Indonesia,1.693,127.894,1229,Complex volcano,3,,,1,,,,,,,,,,1,,,,,,,,
1550,,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
1564,12,31,Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.53,1635,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
1565,8,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,3,,,,,,,,,1,,,,,,,,,,1,,
1566,10,31,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,3,,,3,,,,,,,,,,3,,,,,,,,
1568,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,485,Stratovolcano,3,"P,T,M",1001,4,,,,,,,,,1001,4,,,,,,,,
1570,,,Mombacho,Nicaragua,Nicaragua,11.826,-85.968,1344,Stratovolcano,,A,400,3,,,,,,,,,400,3,,,,,,,,
1572,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,3,L,,,,,,,,2,,,,,,,,,,2,,
1576,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
1580,5,1,Sao Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,3,P,10,1,,,,,,,,,10,1,,,,,,,,
1580,8,11,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,,,,,,,,,,,,,,,,,,,,,
1580,,,Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,-6.092,155.225,1544,Pyroclastic shield,6,,,,,,,,,,,,,,,,,,,,,
1581,12,26,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
1586,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,5,,10000,4,,,,,,,,,10000,4,,,,,,,,
1587,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,4,,,1,,,,,,,,,,1,,,,,,,,
1590,1,15,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,3,I,,3,,,,,,,,,,3,,,,,,,,
1593,,,Raung,Java,Indonesia,-8.119,114.056,3260,Stratovolcano,5,,,3,,,,,,,,,,3,,,,,,,,
1595,3,12,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,4,M,636,3,,,,,,,,,636,3,,,,,,,,
1596,5,1,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,T,,3,,,,,,,,,,3,,,,,,,,
1597,1,3,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
1597,,,Raung,Java,Indonesia,-8.119,114.056,3260,Stratovolcano,3,T,,1,,,,,,,,,,1,,,,,,,,
1598,5,13,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,T,800,3,,,,,,,,,800,3,,,,,,,,
1598,,,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,3,,,1,,,,,,,,,,1,,,,,,,,
1600,2,19,Huaynaputina,Peru,Peru,-16.608,-70.85,4850,Stratovolcano,6,,1500,4,,,,,,,,,1500,4,,,,,,,,
1606,1,23,Hachijojima,Izu Is-Japan,Japan,33.137,139.766,854,Stratovolcano,2,,,,,,,,,,,,,,,,,,,,,
1608,7,18,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3,,,,,,,,,1,,,,1,,,,,,1,,
1609,,,Tengchong,China-S,China,25.23,98.5,2865,Pyroclastic cone,,E,,1,,,,,,,,,,1,,,,,,,,
1615,3,,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,3,,,,,,,,,2,,2,,,,,,,,2,,2
1617,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
1625,9,2,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,5,,,,,,,,,,,,,,,,,,,,,
1629,,,Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719,Caldera,2,F,4,1,,,,,,,,,4,1,,,,,,,,
1630,9,3,Furnas,Azores,Portugal,37.77,-25.32,805,Stratovolcano,4,"M,T",200,3,,,,,,,,,200,3,,,,,,,,
1631,2,14,Dama Ali,Africa-NE,Ethiopia,11.28,41.63,1068,Shield volcano,,S,50,1,,,,,,2,,,50,1,,,,,,2,,
1631,12,16,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,E,M",4000,4,,,,,,4,,4,4000,4,,,,,,4,,4
1636,5,15,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
1638,,,Raung,Java,Indonesia,-8.119,114.056,3260,Stratovolcano,4,M,1001,4,,,,,,,,,1001,4,,,,,,,,
1640,7,31,Hokkaido-Komagatake,Hokkaido-Japan,Japan,42.063,140.677,1131,Stratovolcano,5,W,,,,,,,,,,,700,3,,,,,,1,20,1
1640,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,P,5000,4,,,,,,,,4,5000,4,,,,,,,,4
1646,7,19,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,P,,3,,,,,,,,,,3,,,,,,,,
1650,9,26,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,4,"G,W,T",120,3,,,,,,1,,,120,3,,,,,,1,,
1659,9,30,San Salvador,El Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,3,S,,,,,,,,,,,,,,,,,,,,
1659,11,11,Teon,Banda Sea,Pacific Ocean,-6.976,129.144,728,Stratovolcano,4,,,,,,,,,,,,,,,,,,,,,
1660,2,,Teon,Banda Sea,Pacific Ocean,-6.976,129.144,728,Stratovolcano,4,"G,T",3,1,,,,,,,,,3,1,,,,,,,,
1660,10,27,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,4,P,,,,,,,,2,,,,,,,,,,2,,
1660,11,3,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,1,,
1660,,,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,6,"T,P,W,I",2000,4,,,,,,3,,3,2000,4,,,,,,3,,3
1663,8,16,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,5,"T,P",5,1,,,,,,,,,5,1,,,,,,,,
1664,4,15,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,2,m,30,1,,,,,,,,,30,1,,,,,,,,
1664,,,Io-Torishima,Ryukyu Is,Japan,27.881,128.223,212,Complex volcano,,A,,1,,,,,,,,,,1,,,,,,1,,1
1669,3,11,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,,,3,,,,,,,,,,3,,,,,,,,
1669,3,19,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,L,2,1,,,5,1,,,,,2,1,,,5,1,,,,
1670,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,2,L,,3,,,,,,,,,,3,,,,,,,,
1672,4,24,Fayal,Azores,Portugal,38.576,-28.713,1041,Stratovolcano,2,,3,1,,,,,,,,,3,1,,,,,,,,
1672,8,4,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,P,3000,4,,,,,,,,,3000,4,,,,,,,,
1673,5,20,Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.53,1635,Stratovolcano,5,W,,,,,,,,1,,1,,3,,,,,,1,,1
1677,11,22,La Palma,Canary Is,Spain,28.57,-17.83,2426,Stratovolcano,2,G,1,1,,,,,,,,,1,1,,,,,,,,
1679,9,21,Zukur,Red Sea,Yemen,14.02,42.75,624,Shield volcano,,,,,,,,,,,,,,,,,,,,,,
1682,8,12,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,4,1,,,,,,,,,4,1,,,,,,,,
1684,12,,Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719,Caldera,2,F,1,1,,,,,,,,,1,1,,,,,,,,
1690,2,3,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,W,,,,,,,,,,,,,,,,,,,,
1690,,,Guntur,Java,Indonesia,-7.143,107.841,2251,Complex volcano,3,,,1,,,,,,,,,,1,,,,,,,,
1692,6,4,Serua,Banda Sea,Pacific Ocean,-6.312,130.017,608,Stratovolcano,4,L,,2,,,,,,,,,,2,,,,,,,,
1693,1,9,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
1693,2,13,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,,,,,,,,,,,,,,,,,,,,,
1694,11,20,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,3,,,2,,,,,,,,,,2,,,,,,,,
1698,5,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,,,,,,,,,,,,,,,,,,,,
1698,,,Ciremai,Java,Indonesia,-6.895,108.408,3039,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
1698,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,3,M,,2,,,,,,,,,,2,,,,,,,,
1706,5,5,Tenerife,Canary Is,Spain,28.271,-16.641,3715,Stratovolcano,2,,,,,,,,,3,,,,,,,,,,3,,
1707,5,,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,3,,,,,,,,,,,,,,,,,,,,,
1707,12,16,Fujisan,Honshu-Japan,Japan,35.361,138.728,3776,Stratovolcano,4,,,1,,,,,,1,75,1,,1,,,,,,1,75,1
1711,12,11,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,P,3000,4,,,,,,,,,3000,4,,,,,,,,
1712,1,15,Bardarbunga,Iceland-NE,Iceland,64.633,-17.516,2000,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
1714,6,30,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,,,,,,,,,,,,,,,,,,,,,,
1716,7,20,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,2,M,,1,,,,,,,,,,1,,,,,,,,
1716,9,24,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,,,1,,,,,,,,,,1,,,,,,3,,3
1716,10,5,Bardarbunga,Iceland-NE,Iceland,64.633,-17.516,2000,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
1716,11,9,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,3,,1,1,,,31,1,,,,,1,1,,,31,1,,,,
1717,2,7,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,3,,1,1,,,30,1,,,,,1,1,,,30,1,,,,
1717,8,4,Bardarbunga,Iceland-NE,Iceland,64.633,-17.516,2000,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
1717,8,27,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
1718,2,1,Pico,Azores,Portugal,38.47,-28.4,2351,Stratovolcano,2,,2,1,,,,,,,,,2,1,,,,,,,,
1721,5,11,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,5,,,,,,,,,1,,,,,,,,,,1,,
1721,6,22,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,1,T,15,1,,,,,,,,,15,1,,,,,,,,
1726,2,1,Bardarbunga,Iceland-NE,Iceland,64.633,-17.516,2000,Stratovolcano,1,,,,,,,,,1,,,,,,,,,,1,,
1727,8,3,Oraefajokull,Iceland-SE,Iceland,64,-16.65,2010,Stratovolcano,4,F,3,1,,,,,,,,,3,1,,,,,,,,
1729,2,1,Bardarbunga,Iceland-NE,Iceland,64.633,-17.516,2000,Stratovolcano,1,,,,,,,,,1,,,,,,,,,,1,,
1729,6,30,Krafla,Iceland-NE,Iceland,65.715,-16.728,800,Caldera,2,,,,,,,,,1,,,,,,,,,,1,,
1730,9,1,Lanzarote,Canary Is,Spain,29.03,-13.63,670,Fissure vent,2,,,1,,,,,,,,,,1,,,,,,,,
1730,,,Raung,Java,Indonesia,-8.119,114.056,3260,Stratovolcano,3,"M,T",,2,,,,,,,,,,2,,,,,,,,
1730,,,Tseax River Cone,Canada,Canada,55.12,-128.9,609,Pyroclastic cone,,G,,1,,,,,,,,,,1,,,,,,,,
1737,5,20,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,T,2,1,,,,,,2,,,2,1,,,,,,2,,
