Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
1994,1,15,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,T,1,1,,,,,,,,,1,1,,,,,,,,
1994,2,3,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,P,6,1,,,,,,,,,6,1,,,,,,,,
1994,5,29,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,1,G,1,1,,,,,,,,,1,1,,,,,,,,
1994,6,6,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,m,,,,,,,,,,,650,3,,,,,2.4,2,200,3
1994,9,19,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,3,T,4,1,,,,,86,4,,,4,1,,,,,86,4,,1
1994,11,3,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,3,m,31,1,,,,,,,,,31,1,,,,,,,,
1994,11,22,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,,60,2,,,,,,,,,60,2,,,,,,,,
1995,2,4,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
1995,2,11,Yakedake,Honshu-Japan,Japan,36.227,137.587,2455,Stratovolcano,1,T,4,1,,,,,,,,,4,1,,,,,,,,
1995,4,2,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,2,,,,,,20,1,,1,10,1,,,,,20,1,,1,10,1
1995,4,7,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,3,M,1,1,,,,,,1,1,1,1,1,,,,,,1,1,1
1995,5,15,Kelimutu,Lesser Sunda Is,Indonesia,-8.77,121.82,1639,Complex volcano,,,1,1,,,,,,,,,1,1,,,,,,,,
1995,9,6,Parker,Mindanao-Philippines,Philippines,6.113,124.892,1824,Stratovolcano,,,60,2,,,,,,2,300,3,60,2,,,,,,2,300,3
1996,1,2,Karymsky,Kamchatka,Russia,54.049,159.443,1513,Stratovolcano,2,,,,,,,,,,,,,,,,,,,,,
1996,4,30,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,3,,5,1,,,,,,1,,,5,1,,,,,,1,,
1996,8,10,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,2,T,3,1,,,18,1,,,,,3,1,,,18,1,,,,
1996,9,4,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
1996,9,27,Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394,Stratovolcano,,m,6,1,,,,1,,,,,6,1,,,,1,,,,
1996,9,30,Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719,Caldera,3,,,,,,,,,1,,,,,,,,,,1,,
1996,12,3,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,3,P,13,1,,,29,1,,,,,13,1,,,29,1,,,,
1997,1,14,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,,6,1,,,,1,,,,,6,1,,,,1,,,,
1997,4,17,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,P,3,1,,,,,,,,,3,1,,,,,,,,
1997,6,25,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,P,22,1,1,,,,,,,,22,1,,,,,,,,
1997,7,12,Hakkodasan,Honshu-Japan,Japan,40.659,140.877,1585,Stratovolcano,,G,3,1,,,,,,,,,3,1,,,,,,,,
1997,8,1,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,2,1,,,,,,,,,2,1,,,,,,,,
1997,9,2,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
1997,9,15,Adatarayama,Honshu-Japan,Japan,37.647,140.281,1728,Stratovolcano,,G,4,1,,,,,,,,,4,1,,,,,,,,
1997,11,23,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,,G,2,1,,,,,,,,,2,1,,,,,,,,
1997,12,26,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
1998,4,28,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,L,1,1,,,,,,,,,,,,,,,,,,
1998,7,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,m,10,1,,,,,,,,,10,1,,,,,,,,
1998,10,30,San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745,Stratovolcano,,m,1620,4,,,,,,,,,1620,4,,,,,,,,
1999,1,20,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
1999,5,21,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,,,,,,,,,,,,,,,,,,,,,
1999,8,15,Sheveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,,,
1999,10,5,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
1999,10,16,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,T,1,1,,,4,1,,,,,1,1,,,4,1,,,,
2000,6,27,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,2,,,,,,,,,1,,,1,1,,,,3,,1,,
2000,7,27,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
2000,8,23,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,P,2,1,,,1,1,,,,,2,1,,,1,1,,,,
2000,11,3,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,G,2,1,,,,,,,,,2,1,,,,,,,,
2000,11,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,A,1,1,,,,,,,,,1,1,,,,,,,,
2001,5,14,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,,1,1,,,,,,1,,,1,1,,,,,,1,,
2001,7,26,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2,,,,,,,,,1,,1,,,,,,,,1,,1
2001,8,5,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,P,2,1,,,,,,,,,2,1,,,,,,,,
2001,10,20,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,T,1,1,,,,,,,,,1,1,,,,,,,,
2002,1,3,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,M,,,,,,,,1,,1,,,,,,,,1,,1
2002,1,17,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1,,100,2,,,400,3,,3,,3,100,2,,,,3,,3,,3
2002,8,28,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,,,,,,32,1,,2,,2,,,,,32,1,,2,,2
2002,11,3,Reventador,Ecuador,Ecuador,-0.077,-77.656,3562,Stratovolcano,4,I,,1,,,,1,,1,,1,,1,,,,1,,1,,1
2002,12,30,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,,,1,,1,,1,,,,,,1,,1,,1
2002,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,3,1,,,,,,,,,3,1,,,,,,,,
2003,7,12,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
2004,1,29,Egon,Lesser Sunda Is,Indonesia,-8.676,122.455,1661,Stratovolcano,1,T,1,1,,,,,,,,,1,1,,,,,,,,
2004,6,8,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,2,T,2,1,,,5,1,,,,,,,,,,,,,,
2004,10,24,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,5,1,,,,,,,,,5,1,,,,,,,,
2005,1,27,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,1,1,,,14,1,,,,,1,1,,,14,1,,,,
2005,10,1,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2381,Stratovolcano,3,A,2,1,,,,1,,,,,2,1,,,,1,,,,
2005,11,24,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,,,1,,,,,,1,,,,1,,,,,,1,,
2006,1,1,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
2006,3,17,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,,,1,1,,,,,,,,,1,1,,,,,,,,
2006,5,20,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,2,P,,,,,,,,,,,,,,,,,,,,
2006,6,7,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,1,,,,,,,,,1,1,,,,,,,,
2006,6,14,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,,2,1,,,,,,,,,2,1,,,,,,,,
2006,7,18,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,1,1,,,,,,,,,1,1,,,,,,,,
2006,8,17,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,T,5,1,,2,13,1,,3,,3,6,1,,2,,2,,3,,3
2006,11,30,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1,m,1266,4,,,,,,1,,,1266,4,,,,,,1,,
2007,3,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,M,4,1,,,1,1,,,,,4,1,,,1,1,,,,
2007,4,18,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,,,,,,,,,2,,1,,,,,,,,2,,1
2007,5,19,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75,Stratovolcano,1,"A,W",,,,,,,,1,,1,,,,,,,,1,,1
2007,7,7,Salak,Java,Indonesia,-6.716,106.733,2218,Stratovolcano,,G,6,1,,,,,,,,,6,1,,,,,,,,
2007,9,30,"Tair, Jebel at",Red Sea,Yemen,15.55,41.83,244,Stratovolcano,,,7,1,,,1,1,,,,,7,1,,,,1,,,,
2008,5,2,Chaiten,Chile-S,Chile,-42.833,-72.646,1122,Caldera,,,1,1,,,,,,,,,1,1,,,,,,,,
2008,8,8,Kasatochi,Aleutian Is,United States,52.177,-175.508,314,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
2008,8,22,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,M,2,1,,,2,1,,1,2,1,2,1,,,2,1,,1,2,1
2008,11,20,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,,10,1,,1,,1,,,,,10,1,,1,,1,,,,
2009,3,23,Redoubt,Alaska-SW,United States,60.485,-152.742,3108,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2009,11,30,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,,,,,2,,,,,,,,,,2,,
2010,1,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
2010,3,31,Eyjafjallajokull,Iceland-S,Iceland,63.633,-19.633,1651,Stratovolcano,2,,2,1,,,,,,,,,2,1,,,,,,,,
2010,5,27,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,T,1,1,3,1,,,,1,3,1,1,1,3,1,,,,1,3,1
2010,5,29,Zealandia Bank,Mariana Is-C Pacific,United States,16.88,145.85,0,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
2010,8,6,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,,4,1,,,5,1,,,,1,4,1,,,5,1,,,,1
2010,8,30,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,2,1,,,,,,,,,2,1,,,,,,,,
2010,10,26,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,,367,3,,,277,3,600,4,,3,367,3,,,277,3,600,4,,3
2010,11,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
2010,12,28,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,,,,,,1,,,,,,,,,,,,
2011,1,3,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,
2011,1,28,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,,,,,,,,1,,1,,,,,,,,1,,1,,
2011,2,23,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,1,,,,,,,,,1,1,,,,,,,,
2011,3,18,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2011,4,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
2011,6,4,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,4,,,,,,,,,2,,,,,,,,,,2,,
2011,6,22,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4,,31,1,,,,3,,1,,,31,1,,,,3,,1,,
2011,7,9,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,,,,,,,,,,1,,,,,,,,,,1,,
2011,7,17,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,,,1,1,,,,,,,,,1,1,,,,,,,,
2011,12,27,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3,m,4,1,,,,1,,,,,4,1,,,,1,,,,
2012,2,10,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,,,,,2,,,,,,,,,,2,,
2012,3,2,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,L,,,,,,,,1,1,1,,,,,,,,,,
2012,12,12,Tolbachik,Kamchatka,Russia,55.832,160.326,3611,Shield volcano,,,,,,,,,,1,,,,,,,,,,1,,
2013,2,12,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,
2013,2,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1
2013,5,7,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,,5,1,,,8,1,,,,,5,1,,,8,1,,,,
2013,8,10,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,,5,1,,,,,,,,,5,1,,,,,,,,
2013,9,1,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2013,9,4,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2013,9,15,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,,,,,,,,,2,,,,,,,,,,2,,
2013,12,13,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,G,1,1,,,,,,,,,1,1,,,,,,,,
2014,2,1,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,17,1,,,3,1,,1,,2,17,1,,,3,1,,1,,2
2014,2,13,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,,7,1,,,,,,3,4098,4,7,1,,,,,,3,4098,4
2014,9,27,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,Complex volcano,3,,55,2,,,70,2,,,,,55,2,,,70,2,,,,
2014,11,10,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,,,,14.5,3,1,1,,,,,,,14.5,3,1,1
2014,11,23,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,,,,,,,,,,2,230,3,,,,,,,,2,230,3
2014,12,18,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,,,1,1,,,4,1,,,,,1,1,,,4,1,,,,
2015,2,20,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1
2015,4,22,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,,,,,,,,,,2,,2,,,,,,,,2,,2
2015,5,2,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
2015,5,7,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1
2015,7,31,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,2,,,,,,2,1,,1,,,,,,,2,1,,1,,
2015,10,16,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,M,1,1,,,,,,1,,,1,1,,,,,,1,,
2015,10,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,I,1,1,,,,,,,,,1,1,,,,,,,,
2016,5,9,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,1,1,,,4,1,,1,3,1,1,1,,,4,1,,1,,
2016,5,21,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,7,1,,,3,1,100,4,,,7,1,,,3,1,100,4,,
2016,6,9,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,,,1,1,,,,,,,,,1,1,,,,,,,,
2016,9,27,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,,,,,44,1,,,,,,,,,44,1,,,,,,
2016,10,8,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,,T,,,,,,,,1,,,,,,,,,,1,,
2017,3,15,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,P,,,,,10,1,,,,,,,,,10,1,,,,
2017,4,13,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,P,,,,,,,,1,,2,,,,,,,,1,,2
2017,6,6,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,P,,,,,,,,2,,,,,,,,,,2,,
2017,7,1,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,,,8,1,,,11,1,,,,,8,1,,,11,1,,,,
2017,9,12,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,,3,1,,,,,,,,,3,1,,,,,,,,
2017,9,23,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,,T,,,,,,,,1,,,,,,,,,,1,,
2017,12,18,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,A,8,1,,,8,1,,,,,8,1,,,8,1,,,,
2017,12,27,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,T,,,,,,,,2,,,,,,,,,,2,,
2018,1,5,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,2,T,,,,,,,,1,,,,,,,,,,1,,
2018,1,13,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,"T,P",,,,,1972,4,3.564,2,,,,,,,1972,4,3.564,2,,
2018,1,23,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,1,T,1,1,,,11,1,,1,,,1,1,,,11,1,,1,,
2018,2,1,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,G,1,1,,,3,1,,,,,1,1,,,3,1,,,,
2018,2,9,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,2,W,,,,,,,,,,,,,,,,,,,,
2018,3,21,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,G,,,,,30,1,,,,,,,,,30,1,,,,
2018,3,30,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,3,"T,G,M",4,1,,,,,,2,,1,4,1,,,,,,2,,1
2018,4,28,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,L,,,,,1,1,370,4,716,3,,,,,1,1,370,4,716,3
2018,5,6,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
2018,6,3,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,P,201,3,229,3,27,1,120,4,186,3,201,3,229,3,27,1,120,4,186,3
2018,7,16,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,T,,,,,23,1,1,1,,,,,,,23,1,1,1,,
2018,8,25,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"L,T",,,,,,,,3,164,3,,,,,,,,3,164,3
2018,12,15,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2,"S,T,G",,,,,,,,2,,1,,,,,,,,2,,1
2018,12,22,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,3,W,,,,,,,,,,,437,3,10,1,31943,4,250,4,2844,4
2018,12,26,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2,S,,,,,,,,,,,,,,,28,1,115,4,15,1
2019,1,7,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,,,,,,,,1,,,,,,,,,,1,,
2019,5,7,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,4,T,,,,,,,,2,,,,,,,,,,2,,
2019,6,26,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,4,"P,T",,,,,2,1,14,3,,,,,,,2,1,14,3,,
2019,6,28,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"A,P,T",,,,,,,,2,,,,,,,,,,2,,
2019,7,3,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,"P,T",1,1,,,1,1,,,,,1,1,,,1,1,,,,
2019,8,28,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,W,,,,,,,,,,,,,,,,,,,,
2019,12,9,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,2,T,22,1,,,25,1,,,,,22,1,,,25,1,,,,
2020,1,12,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,T,39,1,,,,,67,4,4573,4,39,1,,,,,67,4,4573,4
2020,5,29,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,"G,W, S",1,1,,,,,,,,,1,1,,,,,,,,
2021,3,5,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286,Stratovolcano,2,T,,,,,,,,2,,,,,,,,,,2,,
2021,3,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,"L,T",,,,,,,,1,,,,,,,,,,1,,
2021,4,9,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,4,"T,W",,,,,,,325,4,,,,,,,,,325,4,,
2021,5,22,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,2,"L,I,S",32,1,,,,,,3,5000,4,32,1,,,,,,3,5000,4
2021,9,19,La Palma,Canary Is,Spain,28.57,-17.83,2426,Stratovolcano,3,L,1,1,,,,,900,4,1345,4,1,1,,,,,900,4,1345,4
2021,12,4,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,4,T,51,1,9,1,169,3,20,3,2970,4,45,1,9,1,169,3,20,3,2970,4
2022,1,15,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-20.536,-175.382,114,Submarine volcano,5,W,,,,,,,,3,,,6,1,,,20,1,107.768,4,284,3
2022,6,22,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,2,P,1,1,,,,,,,,,1,1,,,,,,,,
2022,10,9,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,"P,W",,,,,,,,,,,,,,,,,,,,
2022,12,4,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,"P,W",,,,,,,,,,,,,,,,,,,,
2022,12,4,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,4,"T,M",,,,,,,,1,,,,,,,,,,1,,
2023,1,31,Epi,Vanuatu-SW Pacific,Vanuatu,-16.68,168.37,833,Stratovolcano,,W,,,,,,,,,,,,,,,,,,,,
2023,7,7,Bagana,Bougainville-SW Paci,Papua New Guinea,-6.137,155.196,1855,Lava cone,2,"T,G",,,,,,,,1,,1,,,,,,,,1,,1
2023,12,3,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,,"P,T",23,1,0,,12,1,,,,,23,1,0,,12,1,,,,
2023,12,18,Reykjanes,Iceland-SW,Iceland,63.817,-22.717,140,Crater rows,,"S,L",1,1,,,,,,2,3,1,1,1,,,,,,2,3,1
